Transaction Date,Merchant,Category,Amount,
2023-01-01,ABC Store,Groceries,55.00,
2023-01-05,XYZ Supermarket,Groceries,30.00,
2023-01-10,Coffee Shop,Dining,10.00,
2023-01-15,Clothing Boutique,Clothing,80.00,
2023-01-20,Gas Station,Transportation,20.00,
2023-01-25,Online Retailer,Electronics,350.00,
2023-01-28,Restaurant,Dining,40.00,
2023-01-30,Supermarket,Groceries,70.00,
2023-01-31,Bookstore,Books,25.00,
2023-01-31,Pharmacy,Healthcare,15.00,
2023-02-02,ABC Store,Groceries,60.00,
2023-02-05,XYZ Supermarket,Groceries,35.00,
2023-02-10,Coffee Shop,Dining,15.00,
2023-02-15,Clothing Boutique,Clothing,90.00,
2023-02-20,Gas Station,Transportation,25.00,
2023-02-22,Online Retailer,Electronics,300.00,
2023-02-25,Restaurant,Dining,30.00,
2023-02-27,Supermarket,Groceries,65.00,
2023-02-28,Bookstore,Books,20.00,
2023-02-28,Pharmacy,Healthcare,10.00,
2023-03-02,ABC Store,Groceries,55.00,
2023-03-05,XYZ Supermarket,Groceries,40.00,
2023-03-10,Coffee Shop,Dining,12.00,
2023-03-15,Clothing Boutique,Clothing,85.00,
2023-03-20,Gas Station,Transportation,22.00,
2023-03-25,Online Retailer,Electronics,320.00,
2023-03-28,Restaurant,Dining,35.00,
2023-03-30,Supermarket,Groceries,60.00,
2023-03-31,Bookstore,Books,18.00,
2023-03-31,Pharmacy,Healthcare,15.00,
2023-04-02,ABC Store,Groceries,50.00,
2023-04-05,XYZ Supermarket,Groceries,45.00,
2023-04-10,Coffee Shop,Dining,10.00,
2023-04-15,Clothing Boutique,Clothing,80.00,
2023-04-20,Gas Station,Transportation,18.00,
2023-04-25,Online Retailer,Electronics,350.00,
2023-04-28,Restaurant,Dining,40.00,
2023-04-30,Supermarket,Groceries,70.00,
2023-04-30,Bookstore,Books,25.00,
2023-04-30,Pharmacy,Healthcare,12.00,
2023-05-01,ABC Store,Groceries,55.00,
2023-05-05,XYZ Supermarket,Groceries,30.00,
2023-05-10,Coffee Shop,Dining,10.00,
2023-05-15,Clothing Boutique,Clothing,80.00,
2023-05-20,Gas Station,Transportation,20.00,
2023-05-25,Online Retailer,Electronics,350.00,
2023-05-28,Restaurant,Dining,40.00,
2023-05-30,Supermarket,Groceries,70.00,
2023-05-31,Bookstore,Books,25.00,
2023-05-31,Pharmacy,Healthcare,15.00,
2023-06-02,ABC Store,Groceries,60.00,
2023-06-05,XYZ Supermarket,Groceries,35.00,
2023-06-10,Coffee Shop,Dining,15.00,
2023-06-15,Clothing Boutique,Clothing,90.00,
2023-06-20,Gas Station,Transportation,25.00,
2023-06-22,Online Retailer,Electronics,300.00,
2023-06-25,Restaurant,Dining,30.00,
2023-06-27,Supermarket,Groceries,65.00,
2023-06-28,Bookstore,Books,20.00,
2023-06-28,Pharmacy,Healthcare,10.00,
2023-07-01,ABC Store,Groceries,55.00,
2023-07-05,XYZ Supermarket,Groceries,40.00,
2023-07-10,Coffee Shop,Dining,12.00,
2023-07-15,Clothing Boutique,Clothing,85.00,
2023-07-20,Gas Station,Transportation,22.00,
2023-07-25,Online Retailer,Electronics,320.00,
2023-07-28,Restaurant,Dining,35.00,
2023-07-30,Supermarket,Groceries,60.00,
2023-07-31,Bookstore,Books,18.00,
2023-07-31,Pharmacy,Healthcare,15.00,
2023-08-02,ABC Store,Groceries,50.00,
2023-08-05,XYZ Supermarket,Groceries,45.00,
2023-08-10,Coffee Shop,Dining,10.00,
2023-08-15,Clothing Boutique,Clothing,80.00,
2023-08-20,Gas Station,Transportation,18.00,
2023-08-25,Online Retailer,Electronics,350.00,
2023-08-28,Restaurant,Dining,40.00,
2023-08-30,Supermarket,Groceries,70.00,
2023-08-30,Bookstore,Books,25.00,
2023-09-01,ABC Store,Groceries,55.00,
2023-09-05,XYZ Supermarket,Groceries,30.00,
2023-09-10,Coffee Shop,Dining,10.00,
2023-09-15,Clothing Boutique,Clothing,80.00,
2023-09-20,Gas Station,Transportation,20.00,
2023-09-25,Online Retailer,Electronics,350.00,
2023-09-28,Restaurant,Dining,40.00,
2023-09-30,Supermarket,Groceries,70.00,
2023-09-30,Bookstore,Books,25.00,
2023-09-30,Pharmacy,Healthcare,15.00,
2023-10-02,ABC Store,Groceries,60.00,
2023-10-05,XYZ Supermarket,Groceries,35.00,
2023-10-10,Coffee Shop,Dining,15.00,
2023-10-15,Clothing Boutique,Clothing,90.00,
2023-10-20,Gas Station,Transportation,25.00,
2023-10-22,Online Retailer,Electronics,300.00,
2023-10-25,Restaurant,Dining,30.00,
2023-10-27,Supermarket,Groceries,65.00,
2023-10-28,Bookstore,Books,20.00,
2023-10-28,Pharmacy,Healthcare,10.00,
2023-11-01,ABC Store,Groceries,55.00,
2023-11-05,XYZ Supermarket,Groceries,40.00,
2023-11-10,Coffee Shop,Dining,12.00,
2023-11-15,Clothing Boutique,Clothing,85.00,
2023-11-20,Gas Station,Transportation,22.00,
2023-11-25,Online Retailer,Electronics,320.00,
2023-11-28,Restaurant,Dining,35.00,
2023-11-30,Supermarket,Groceries,60.00,
2023-11-30,Bookstore,Books,18.00,
2023-11-30,Pharmacy,Healthcare,15.00,
2023-12-02,ABC Store,Groceries,50.00,
2023-12-05,XYZ Supermarket,Groceries,45.00,
2023-12-10,Coffee Shop,Dining,10.00,
2023-12-15,Clothing Boutique,Clothing,80.00,
2023-12-20,Gas Station,Transportation,18.00,
2023-12-25,Online Retailer,Electronics,350.00,
2023-12-28,Restaurant,Dining,40.00,
2023-12-30,Supermarket,Groceries,70.00,
2023-12-30,Bookstore,Books,25.00,
2023-12-30,Pharmacy,Healthcare,12.00,
